ncbi_gene_id,ensembl_gene_id,hgnc_symbol,gene_name,ucsc_id,alias
390874,ENSG00000205922,ONECUT3,ONECUT3,uc010xgr.4,OC3
390882,ENSG00000170923,OR7G2,OR7G2,uc285phz.1,OR19-6
390883,ENSG00000170920,OR7G3,OR7G3,uc010xkl.2,OST085
390892,ENSG00000127515,OR7A10,OR7A10,uc285pmb.1,BC85395_3
390916,ENSG00000213965,NUDT19,NUDT19,uc010edf.4,RP2
390927,ENSG00000188227,ZNF793,ZNF793,uc060xvg.2,ZNF793
390928,ENSG00000183760,ACP7,ACP7,uc060yiq.1,PAPL
390937,ENSG00000268041,ERFL,ERFL,uc285pqc.2,erfl1
390940,ENSG00000234465,PINLYP,PINLYP,uc060zme.2,PINLYP
390980,ENSG00000204524,ZNF805,ZNF805,uc010ygt.4,ZNF805
390992,ENSG00000173673,HES3,HES3,uc316uxk.1,bHLHb43
390999,ENSG00000116726,PRAMEF12,PRAMEF12,uc001aui.6,PRAMEF12
391002,ENSG00000282583,PRAMEF8,PRAMEF8,,PRAMEF24
391003,ENSG00000282212,PRAMEF18,PRAMEF18,,PRAMEF18
391004,ENSG00000204479,PRAMEF17,PRAMEF17,uc009vnz.3,PRAMEF17
391013,ENSG00000187980,PLA2G2C,PLA2G2C,uc057cyp.1,UBXN10-AS1
391059,ENSG00000156869,FRRS1,FRRS1,uc285gte.2,SDFR2
391104,ENSG00000189030,VHLL,VHLL,uc001fok.5,VHLP
391107,ENSG00000180708,OR10K2,OR10K2,uc285hbk.1,OR1-4
391109,ENSG00000173285,OR10K1,OR10K1,uc010pij.3,OR1-6
391112,ENSG00000197532,OR6Y1,OR6Y1,uc285hbs.1,OR1-11
391114,ENSG00000203757,OR6K3,OR6K3,uc021pbn.2,OR1-18
391121,ENSG00000292247,OR10J4,OR10J4,,OR10J4P
391123,ENSG00000243284,VSIG8,VSIG8,uc001fuh.3,VSIG8
391189,ENSG00000197591,OR11L1,OR11L1,uc001idn.1,OR11L1
391190,ENSG00000279263,OR2L8,OR2L8,uc001idt.1,OR2L8
