Pathway_ID	Pathway_Type
hsa05131	Human Diseases
hsa05132	Human Diseases
hsa05133	Human Diseases
hsa05134	Human Diseases
hsa05135	Human Diseases
hsa05140	Human Diseases
hsa05142	Human Diseases
hsa05143	Human Diseases
hsa05144	Human Diseases
hsa05145	Human Diseases
hsa05146	Human Diseases
hsa05150	Human Diseases
hsa05152	Human Diseases
hsa05160	Human Diseases
hsa05161	Human Diseases
hsa05162	Human Diseases
hsa05163	Human Diseases
hsa05164	Human Diseases
hsa05165	Human Diseases
hsa05166	Human Diseases
hsa05167	Human Diseases
hsa05168	Human Diseases
hsa05169	Human Diseases
hsa05170	Human Diseases
hsa05171	Human Diseases
hsa05200	Human Diseases
hsa05202	Human Diseases
hsa05203	Human Diseases
hsa05204	Human Diseases
hsa05205	Human Diseases
hsa05206	Human Diseases
hsa05207	Human Diseases
hsa05208	Human Diseases
hsa05210	Human Diseases
hsa05211	Human Diseases
hsa05212	Human Diseases
hsa05213	Human Diseases
hsa05214	Human Diseases
hsa05215	Human Diseases
hsa05216	Human Diseases
hsa05217	Human Diseases
hsa05218	Human Diseases
hsa05219	Human Diseases
hsa05220	Human Diseases
hsa05221	Human Diseases
hsa05222	Human Diseases
hsa05223	Human Diseases
hsa05224	Human Diseases
hsa05225	Human Diseases
hsa05226	Human Diseases
hsa05230	Human Diseases
hsa05231	Human Diseases
hsa05235	Human Diseases
hsa05310	Human Diseases
hsa05320	Human Diseases
hsa05321	Human Diseases
hsa05322	Human Diseases
hsa05323	Human Diseases
hsa05330	Human Diseases
hsa05332	Human Diseases
hsa05340	Human Diseases
hsa05410	Human Diseases
hsa05412	Human Diseases
hsa05414	Human Diseases
hsa05415	Human Diseases
hsa05416	Human Diseases
hsa05417	Human Diseases
hsa05418	Human Diseases
