Sample_ID,Pseudotime,State,Cluster,Tissue_Type
TCGA-75-7031-01A,58.5692917428683,6,4.0,Tumor
TCGA-MP-A4T7-01A,58.6028562278615,6,4.0,Tumor
TCGA-95-7948-01A,58.6248076759936,6,1.0,Tumor
TCGA-49-6742-01A,58.7026226229055,6,4.0,Tumor
TCGA-62-8395-01A,58.7428336759484,3,3.0,Tumor
TCGA-49-6761-01A,58.7475196837021,6,3.0,Tumor
TCGA-50-5068-01A,58.7848501845253,6,2.0,Tumor
TCGA-38-A44F-01A,58.7881376882195,3,3.0,Tumor
TCGA-95-7567-01A,58.7980168755839,6,1.0,Tumor
TCGA-MP-A4T9-01A,58.8102023035282,3,3.0,Tumor
TCGA-L4-A4E5-01A,58.8137240237933,6,5.0,Tumor
TCGA-05-5429-01A,58.8686987928188,6,2.0,Tumor
TCGA-44-A47G-01A,58.9107352825347,3,4.0,Tumor
TCGA-71-6725-01A,58.9388915482432,6,2.0,Tumor
TCGA-49-AAR4-01A,58.9492989387784,6,4.0,Tumor
TCGA-55-A490-01A,58.9575325853816,6,4.0,Tumor
TCGA-62-8394-01A,58.997147269813,6,3.0,Tumor
TCGA-MP-A4T8-01A,59.0007503152289,6,4.0,Tumor
TCGA-78-7153-01A,59.0297066671565,6,4.0,Tumor
TCGA-50-5045-01A,59.0669713203644,6,2.0,Tumor
TCGA-80-5608-01A,59.0803013874764,6,3.0,Tumor
TCGA-55-8615-01A,59.1279545269337,6,4.0,Tumor
TCGA-95-7039-01A,59.178561600772,6,2.0,Tumor
TCGA-55-8506-01A,59.2104048781034,6,2.0,Tumor
TCGA-69-7979-01A,59.2473469193152,6,3.0,Tumor
TCGA-MP-A4TD-01A,59.2621060198988,6,4.0,Tumor
TCGA-78-7149-01A,59.2746630408952,6,4.0,Tumor
TCGA-55-6972-01A,59.3412933857305,6,2.0,Tumor
TCGA-95-7944-01A,59.4355344565677,6,4.0,Tumor
TCGA-50-5051-01A,59.4508034514198,6,4.0,Tumor
TCGA-55-8302-01A,59.4560388030278,6,3.0,Tumor
TCGA-O1-A52J-01A,59.4649867734933,3,2.0,Tumor
TCGA-78-8660-01A,59.5131880548662,6,3.0,Tumor
TCGA-97-8176-01A,59.525318537356,6,3.0,Tumor
TCGA-86-8281-01A,59.5584846081228,3,2.0,Tumor
