"Sample_ID","Pseudotime","State","Cluster","Tissue_Type"
"TCGA-50-5066-01A",39.1238586802967,"7","NA","Tumor"
"TCGA-38-4632-01A",39.1872731125515,"7","NA","Tumor"
"TCGA-55-8094-01A",39.2633574924445,"7","NA","Tumor"
"TCGA-86-A4D0-01A",39.3509802025589,"7","NA","Tumor"
"TCGA-91-8499-01A",39.3829696236269,"7","NA","Tumor"
"TCGA-62-A471-01A",39.5735866934157,"7","NA","Tumor"
"TCGA-55-7570-01A",39.6488722265609,"7","NA","Tumor"
"TCGA-69-8255-01A",39.6551851926933,"7","NA","Tumor"
"TCGA-05-5428-01A",39.9935243253983,"7","NA","Tumor"
"TCGA-55-8208-01A",40.0286850515504,"2","NA","Tumor"
"TCGA-55-8299-01A",40.0853020786512,"2","NA","Tumor"
"TCGA-35-5375-01A",40.4325408564061,"7","NA","Tumor"
"TCGA-44-7667-01A",40.7138570245586,"7","NA","Tumor"
"TCGA-38-4631-01A",40.7424460779772,"7","NA","Tumor"
"TCGA-78-7161-01A",40.9721466451053,"2","NA","Tumor"
"TCGA-55-6985-01A",41.7889020864884,"2","NA","Tumor"
"TCGA-67-6215-01A",41.8207320137405,"2","NA","Tumor"
"TCGA-55-7283-01A",42.5374059452663,"2","NA","Tumor"
"TCGA-MP-A5C7-01A",43.5428263775603,"2","NA","Tumor"
"TCGA-05-4425-01A",44.8134154337734,"2","NA","Tumor"
"TCGA-75-5126-01A",44.9736843869542,"2","NA","Tumor"
"TCGA-MP-A4T4-01A",45.3481593216543,"2","NA","Tumor"
"TCGA-55-8614-01A",45.3832934350225,"2","NA","Tumor"
"TCGA-86-8669-01A",45.4564491942834,"2","NA","Tumor"
"TCGA-75-5146-01A",45.4993131800983,"2","NA","Tumor"
"TCGA-69-7980-01A",46.7230594306434,"3","NA","Tumor"
"TCGA-73-4658-01A",46.7948610392368,"6","NA","Tumor"
"TCGA-L9-A443-01A",46.8118605461589,"3","NA","Tumor"
"TCGA-80-5607-01A",46.8213748776467,"6","NA","Tumor"
"TCGA-55-6984-01A",47.0989471938418,"6","NA","Tumor"
"TCGA-64-5815-01A",47.4809680211022,"6","NA","Tumor"
"TCGA-44-7671-01A",47.483971748574,"6","NA","Tumor"
"TCGA-55-6981-01A",47.5886798755355,"6","NA","Tumor"
"TCGA-62-A46V-01A",48.469541702082,"6","NA","Tumor"
"TCGA-MN-A4N5-01A",48.6039269260328,"6","NA","Tumor"
"TCGA-97-8179-01A",48.6732952708431,"6","NA","Tumor"
"TCGA-MP-A4TI-01A",48.7288009860939,"6","NA","Tumor"
"TCGA-55-A48Z-01A",48.7386013808641,"6","NA","Tumor"
"TCGA-55-8301-01A",48.9192055646122,"6","NA","Tumor"
